EC_SUBADQUIRIDO;FANTASIA_SUBADQUIRIDO;CNPJ_SUBADQUIRIDO;CIDADE_SUBADQUIRIDO;ESTADO_SUBADQUIRIDO;COD_PROJETO;PROJETO_SUBADQUIRIDO;VALOR_BRUTO_TRANSACIONADO;BANDEIRA;QTD_DE_PARCELAS;Nº_DA_PARCELA;DATA_DA_TRANSACAO;VALOR_DE_REPASSE;DATA_DO_REPASSE;DATA_DA_ANTECIPACAO;DINHEIRO_REPASSADO
304496         ;COSSI & SILVA  ;21801537000120;UMUARAMA                                                    ;PR;290;ZEITBANK;R$ 250,00;MASTERCARD          ;1;0;2024-10-22                    ;R$ 241,85;2024-11-22                    ;1753-01-01                    ;ABERTO
305152         ;VP JARAGUA     ;35194931000152;JARAGUA DO SUL                                              ;SC;290;ZEITBANK;R$ 44,49;ELODEBITO           ;1;0;2024-10-22                    ;R$ 43,86;2024-10-24                    ;1753-01-01                    ;ABERTO
305152         ;VP JARAGUA     ;35194931000152;JARAGUA DO SUL                                              ;SC;290;ZEITBANK;R$ 515,89;MAESTRO             ;1;0;2024-10-22                    ;R$ 508,62;2024-10-24                    ;1753-01-01                    ;ABERTO
305152         ;VP JARAGUA     ;35194931000152;JARAGUA DO SUL                                              ;SC;290;ZEITBANK;R$ 470,28;VISAELECTRON        ;1;0;2024-10-22                    ;R$ 463,66;2024-10-24                    ;1753-01-01                    ;ABERTO
305303         ;REI JARAGUA_303;51219650000163;JARAGUA DO SUL                                              ;SC;290;ZEITBANK;R$ 34,98;ELODEBITO           ;1;0;2024-10-22                    ;R$ 34,49;2024-10-24                    ;1753-01-01                    ;ABERTO
305303         ;REI JARAGUA_303;51219650000163;JARAGUA DO SUL                                              ;SC;290;ZEITBANK;R$ 649,35;MAESTRO             ;1;0;2024-10-22                    ;R$ 640,22;2024-10-24                    ;1753-01-01                    ;ABERTO
305303         ;REI JARAGUA_303;51219650000163;JARAGUA DO SUL                                              ;SC;290;ZEITBANK;R$ 316,56;VISAELECTRON        ;1;0;2024-10-22                    ;R$ 312,10;2024-10-24                    ;1753-01-01                    ;ABERTO
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 489,01;ELOCREDITO          ;1;0;2024-10-22                    ;R$ 462,12;2024-11-22                    ;2024-10-24                    ;PROCESSANDO_REPASSE
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 1.620,07;ELODEBITO           ;1;0;2024-10-22                    ;R$ 1.597,34;2024-10-24                    ;1753-01-01                    ;ABERTO
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 4.801,94;MAESTRO             ;1;0;2024-10-22                    ;R$ 4.734,43;2024-10-24                    ;1753-01-01                    ;ABERTO
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 3.666,19;MASTERCARD          ;1;0;2024-10-22                    ;R$ 3.454,89;2024-11-22                    ;2024-10-24                    ;PROCESSANDO_REPASSE
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 678,46;PIXSICOOB           ;1;0;2024-10-22                    ;R$ 668,91;2024-10-24                    ;1753-01-01                    ;ABERTO
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 1.992,90;VISA                ;1;0;2024-10-22                    ;R$ 1.878,07;2024-11-22                    ;2024-10-24                    ;PROCESSANDO_REPASSE
305377         ;POSTO MBP      ;08170218000104   ;CURITIBA                                                    ;PR;325;REDE PETROMAIS;R$ 3.355,94;VISAELECTRON        ;1;0;2024-10-22                    ;R$ 3.308,85;2024-10-24                    ;1753-01-01                    ;ABERTO
